,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,payout_per_s
3,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Interim Dividend - Rs  6 Per Share,5,20-Feb-2024,20-Feb-2024,-,-,6
4,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting/Dividend - Rs 9 Per Share,5,18-Aug-2023,19-Aug-2023,-,-,9
5,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Interim Dividend - Rs  6 Per Share,5,24-Feb-2023,24-Feb-2023,-,-,6
6,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting/Dividend - Rs 11.75 Per Share,5,18-Aug-2022,-,20-Aug-2022,25-Aug-2022,11.75
7,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ, Annual General Meeting/Dividend - Rs 3 Per Share,5,18-Aug-2021,-,21-Aug-2021,31-Aug-2021,3
8,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ, Annual General Meeting/Dividend - Rs 2.75 Per Share,5,17-Sep-2020,-,19-Sep-2020,25-Sep-2020,2.75
9,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ, Interim Dividend - Rs 3.25 Per Share,5,25-Feb-2020,26-Feb-2020,-,-,3.25
10,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ, Annual General Meeting/Dividend - Rs 6 Per Share,5,12-Sep-2019,-,14-Sep-2019,27-Sep-2019,6
11,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ, Annual General Meeting/Dividend- Rs 5 Per Share,5,12-Sep-2018,-,15-Sep-2018,27-Sep-2018,5
12,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ, Annual General Meeting/Dividend - Rs 6/- Per Share,5,07-Sep-2017,-,09-Sep-2017,20-Sep-2017,6
13,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ, Interim Dividend - Rs 6/- Per Share (Purpose Revised),5,22-Mar-2016,23-Mar-2016,-,-,6
14,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting/Dividend Rs 5.75 Per Share,5,30-Jul-2015,-,01-Aug-2015,11-Aug-2015,5.75
15,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting And Dividend Rs.5.75 Per Share,5,13-Aug-2014,-,19-Aug-2014,25-Aug-2014,5.75
16,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting And Dividend Rs.5.50 Per Share,5,25-Jul-2013,-,27-Jul-2013,07-Aug-2013,5.50
17,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting/Dividend Rs 4 Per Share,5,26-Jul-2012,-,28-Jul-2012,09-Aug-2012,4
